Renewable Energy Analysis
======================================================================

country_name  year  renewable_pct  consumption_twh  solar_twh  wind_twh  hydro_twh  total_renewable_twh
     Belgium  2020          10.46           663.91       5.11     12.81       0.27                18.19
     Belgium  2021           9.20           738.28       5.62     12.00       0.42                18.04
     Belgium  2022          10.44           694.45       6.88     12.35       0.27                19.50
     Belgium  2023          12.15           650.56       7.83     15.46       0.40                23.69
     Belgium  2024          11.45           644.12       8.56     14.08       0.55                23.19
      France  2020          13.97          2444.26      13.09     40.05      62.52               115.66
      France  2021          12.91          2597.56      15.28     37.12      59.54               111.94
      France  2022          13.73          2306.19      19.34     38.00      45.56               102.90
      France  2023          15.87          2406.51      22.59     48.05      55.90               126.54
      France  2024          16.46          2519.90      24.87     43.00      71.12               138.99
     Germany  2020          20.02          3498.91      49.50    132.11      18.72               200.33
     Germany  2021          18.08          3598.49      49.34    114.16      19.66               183.16
     Germany  2022          20.33          3455.45      60.30    124.81      17.62               202.73
     Germany  2023          23.60          3178.89      63.87    137.51      21.24               222.62
     Germany  2024          23.97          3195.44      74.13    138.57      23.83               236.53
       Italy  2020          19.40          1663.42      24.94     18.76      47.55                91.25
       Italy  2021          18.01          1785.14      25.04     20.93      45.39                91.36
       Italy  2022          15.95          1755.46      28.12     20.49      28.40                77.01
       Italy  2023          18.85          1680.65      30.71     23.54      40.52                94.77
       Italy  2024          20.93          1696.29      35.99     22.17      53.13               111.29
 Netherlands  2020           9.73           989.34       8.57     15.27       0.05                23.89
 Netherlands  2021          11.48          1015.03      11.30     18.04       0.09                29.43
 Netherlands  2022          14.42           954.10      16.66     21.40       0.05                38.11
 Netherlands  2023          16.63           939.90      19.61     29.70       0.07                49.38
 Netherlands  2024          18.12           926.47      21.82     33.66       0.09                55.57
      Poland  2020           7.66          1139.23       1.96     15.80       2.12                19.88
      Poland  2021           7.60          1224.76       3.93     16.23       2.34                22.50
      Poland  2022           9.37          1186.87       8.31     19.78       1.97                30.06
      Poland  2023          11.75          1132.88      11.11     23.11       2.41                36.63
      Poland  2024          13.04          1125.57      17.66     24.82       2.11                44.59
       Spain  2020          21.93          1422.96      20.67     56.44      30.51               107.62
       Spain  2021          22.27          1531.90      27.10     62.06      29.63               118.79
       Spain  2022          20.88          1592.17      35.72     62.78      17.59               116.09
       Spain  2023          24.82          1569.63      48.59     65.01      25.00               138.60
       Spain  2024          25.86          1624.25      58.29     62.93      34.41               155.63
      Sweden  2020          51.06           600.28       1.05     27.52      72.39               100.96
      Sweden  2021          50.01           633.68       1.53     27.25      73.89               102.67
      Sweden  2022          52.43           621.68       1.98     33.25      69.87               105.10
      Sweden  2023          52.46           599.36       3.11     34.09      66.19               103.39
      Sweden  2024          51.32           610.00       4.16     40.29      64.61               109.06
