Energy Demand Patterns
======================================================================

country_name  year  consumption_twh  consumption_per_capita_twh  prev_year_consumption  yoy_growth_pct
     Belgium  2020           663.91                       57.23                    NaN             NaN
     Belgium  2021           738.28                       63.65                663.906           11.20
     Belgium  2022           694.45                       59.87                738.285           -5.94
     Belgium  2023           650.56                       56.08                694.453           -6.32
     Belgium  2024           644.12                       55.53                650.558           -0.99
      France  2020          2444.26                       36.05                    NaN             NaN
      France  2021          2597.56                       38.31               2444.265            6.27
      France  2022          2306.19                       34.01               2597.561          -11.22
      France  2023          2406.51                       35.49               2306.192            4.35
      France  2024          2519.90                       37.17               2406.514            4.71
     Germany  2020          3498.91                       42.05                    NaN             NaN
     Germany  2021          3598.49                       43.25               3498.915            2.85
     Germany  2022          3455.45                       41.53               3598.492           -3.98
     Germany  2023          3178.89                       38.21               3455.450           -8.00
     Germany  2024          3195.44                       38.41               3178.886            0.52
 Netherlands  2020           989.34                       56.53                    NaN             NaN
 Netherlands  2021          1015.03                       58.00                989.343            2.60
 Netherlands  2022           954.10                       54.52               1015.026           -6.00
 Netherlands  2023           939.90                       53.71                954.098           -1.49
 Netherlands  2024           926.47                       52.94                939.900           -1.43
      Poland  2020          1139.23                       29.98                    NaN             NaN
      Poland  2021          1224.76                       32.23               1139.234            7.51
      Poland  2022          1186.87                       31.23               1224.758           -3.09
      Poland  2023          1132.88                       29.81               1186.868           -4.55
      Poland  2024          1125.57                       29.62               1132.880           -0.65
